reality,predict,mape
806.66,506.74566650390625,0.37
926.46,538.1593627929688,0.42
616.97,506.74566650390625,0.18
483.19,497.7725524902344,0.03
463.23,495.494140625,0.07
393.34,478.0344543457031,0.22
407.32,492.2157287597656,0.21
443.26,492.58251953125,0.11
449.31,478.983154296875,0.07
892.51,495.494140625,0.44
896.58,565.68603515625,0.37
595.62,632.3272094726562,0.06
638.94,694.1603393554688,0.09
689.97,687.5438232421875,0.0
1072.88,717.9812622070312,0.33
688.85,706.8259887695312,0.03
601.03,747.3072509765625,0.24
573.04,785.094482421875,0.37
891.62,773.6814575195312,0.13
1062.44,781.493408203125,0.26
778.7,743.7554931640625,0.04
585.02,675.3623046875,0.15
593.09,672.513427734375,0.13
926.46,646.2846069335938,0.3
612.98,643.4900512695312,0.05
674.88,628.8350830078125,0.07
367.82,601.9631958007812,0.64
429.28,561.3383178710938,0.31
419.3,575.5404663085938,0.37
425.41,575.5404663085938,0.35
425.38,561.3383178710938,0.32
603.0,513.33837890625,0.15
898.5,561.3383178710938,0.38
820.63,635.7686767578125,0.23
559.13,699.9097900390625,0.25
555.07,773.0059204101562,0.39
1060.23,839.6096801757812,0.21
1056.46,881.4357299804688,0.17
976.37,886.369140625,0.09
616.97,905.504638671875,0.47
578.94,941.991943359375,0.63
1010.32,886.555419921875,0.12
1126.36,857.265380859375,0.24
1042.34,777.4553833007812,0.25
714.81,730.512939453125,0.02
742.76,704.6139526367188,0.05
758.74,660.2542114257812,0.13
706.82,639.7568359375,0.09
593.01,610.499755859375,0.03
966.58,617.5887451171875,0.36
742.83,596.1461181640625,0.2
469.22,583.7821655273438,0.24
473.21,591.3726196289062,0.25
451.25,583.7821655273438,0.29
459.23,572.2800903320312,0.25
612.98,577.2098388671875,0.06
892.51,608.4944458007812,0.32
881.09,649.8364868164062,0.26
557.14,649.0972290039062,0.17
569.05,673.8930053710938,0.18
591.01,680.9828491210938,0.15
916.34,714.3043823242188,0.22
1000.54,721.4649658203125,0.28
706.9,699.3052368164062,0.01
563.06,699.3052368164062,0.24
604.99,706.9837036132812,0.17
688.85,680.2054443359375,0.01
1126.12,686.9117431640625,0.39
1110.15,655.629638671875,0.41
916.47,643.8464965820312,0.3
723.0,655.629638671875,0.09
640.93,655.629638671875,0.02
980.37,645.3706665039062,0.34
894.51,643.8464965820312,0.28
543.09,578.2128295898438,0.06
501.16,578.199462890625,0.15
427.29,564.7954711914062,0.32
413.36,578.199462890625,0.4
439.33,594.5769653320312,0.35
948.42,564.4267578125,0.4
932.45,578.2128295898438,0.38
618.97,578.2128295898438,0.07
624.96,579.0585327148438,0.07
612.98,629.9594116210938,0.03
690.96,645.3706665039062,0.07
1104.16,645.3706665039062,0.42
1028.36,645.3706665039062,0.37
626.96,660.6132202148438,0.05
587.83,625.1028442382812,0.06
922.46,615.5369262695312,0.33
1060.45,643.8464965820312,0.39
734.78,564.4267578125,0.23
825.21,578.2128295898438,0.3
1076.21,578.199462890625,0.46
