reality,predict,mape
565.87,498.0873718261719,0.12
572.18,486.8802490234375,0.15
539.47,473.0545349121094,0.12
521.51,470.384765625,0.1
483.93,470.384765625,0.03
475.37,470.384765625,0.01
516.43,467.1517028808594,0.1
532.06,469.2131652832031,0.12
543.48,467.67266845703125,0.14
551.83,469.2896423339844,0.15
545.4,465.1914978027344,0.15
514.86,464.14666748046875,0.1
494.89,463.75006103515625,0.06
466.37,463.9109191894531,0.01
413.6,464.33837890625,0.12
386.5,463.9109191894531,0.2
396.48,463.9109191894531,0.17
376.58,463.564208984375,0.23
337.78,463.9109191894531,0.37
376.83,465.1475524902344,0.23
440.01,465.1475524902344,0.06
505.19,467.59527587890625,0.07
520.13,469.4298095703125,0.1
518.72,485.6524658203125,0.06
545.5,490.848388671875,0.1
529.13,504.5113525390625,0.05
538.83,504.2485046386719,0.06
518.63,506.0777587890625,0.02
501.88,512.6634521484375,0.02
509.32,510.59149169921875,0.0
527.55,506.2392883300781,0.04
529.23,500.0497741699219,0.06
544.67,504.2485046386719,0.07
538.63,495.75201416015625,0.08
529.13,490.5233154296875,0.07
519.83,478.36419677734375,0.08
483.09,473.6876220703125,0.02
447.18,471.050537109375,0.05
426.53,471.050537109375,0.1
434.25,468.6336669921875,0.08
397.91,468.6336669921875,0.18
387.93,464.498046875,0.2
397.91,463.604248046875,0.17
426.35,463.604248046875,0.09
425.01,463.604248046875,0.09
489.27,466.6073303222656,0.05
530.07,476.0409851074219,0.1
537.78,506.2392883300781,0.06
630.08,512.6828002929688,0.19
893.18,512.3137817382812,0.43
552.4,512.18994140625,0.07
544.41,512.0001831054688,0.06
528.99,512.2256469726562,0.03
507.15,512.18994140625,0.01
541.1,512.4093627929688,0.05
559.14,512.4655151367188,0.08
569.05,496.739013671875,0.13
579.12,482.00714111328125,0.17
551.08,482.00714111328125,0.13
569.05,483.1049499511719,0.15
577.04,483.1049499511719,0.16
531.11,476.7827453613281,0.1
463.23,471.8146057128906,0.02
471.21,465.9716491699219,0.01
423.29,467.1037902832031,0.1
419.35,467.1540222167969,0.11
429.35,467.1540222167969,0.09
457.24,465.5876159667969,0.02
469.22,465.5876159667969,0.01
559.07,468.7630615234375,0.16
581.03,468.7630615234375,0.19
581.03,503.04205322265625,0.13
577.04,512.2847900390625,0.11
565.06,512.3069458007812,0.09
559.14,512.4058837890625,0.08
543.09,512.1158447265625,0.06
531.19,512.462158203125,0.04
525.12,511.9478454589844,0.03
561.06,512.5328369140625,0.09
553.08,512.4752197265625,0.07
583.03,512.56005859375,0.12
543.09,501.2107238769531,0.08
535.98,491.5794677734375,0.08
567.05,482.00714111328125,0.15
525.19,497.80072021484375,0.05
461.23,474.2517395019531,0.03
435.27,474.2517395019531,0.09
419.3,467.1540222167969,0.11
401.33,466.4652099609375,0.16
407.32,463.9323425292969,0.14
427.35,463.9323425292969,0.09
443.26,463.26116943359375,0.05
451.25,463.26116943359375,0.03
497.17,465.55035400390625,0.06
525.2,480.9510192871094,0.08
521.13,512.2453002929688,0.02
543.09,512.7557983398438,0.06
493.18,512.82275390625,0.04
463.23,512.5853881835938,0.11
443.33,512.8096923828125,0.16
435.88,512.4577026367188,0.18
451.64,517.0095825195312,0.14
452.81,512.4577026367188,0.13
467.22,512.6931762695312,0.1
465.28,512.462158203125,0.1
472.53,512.4188842773438,0.08
463.23,512.3963623046875,0.11
473.21,495.7989807128906,0.05
407.39,489.7178649902344,0.2
366.11,479.9934387207031,0.31
342.68,485.2023010253906,0.42
341.43,479.9934387207031,0.41
324.92,485.2023010253906,0.49
320.23,479.9934387207031,0.5
343.48,496.739013671875,0.45
357.4,491.4859619140625,0.38
369.38,479.9934387207031,0.3
407.32,478.9164123535156,0.18
417.3,492.3642578125,0.18
457.24,501.9555358886719,0.1
483.19,506.07379150390625,0.05
445.26,512.3170166015625,0.15
417.42,519.6092529296875,0.24
417.3,529.7568969726562,0.27
389.35,528.6182861328125,0.36
403.33,540.1817626953125,0.34
411.31,526.3018798828125,0.28
459.23,516.3932495117188,0.12
471.21,512.4153442382812,0.09
473.21,512.36376953125,0.08
463.3,511.70721435546875,0.1
455.24,512.9108276367188,0.13
419.35,492.7669677734375,0.18
399.33,488.6088562011719,0.22
369.38,471.4906921386719,0.28
