reality,predict,mape
358.58,466.6839904785156,0.3
349.88,471.8662109375,0.35
364.68,459.18548583984375,0.26
395.77,462.44134521484375,0.17
421.25,462.44134521484375,0.1
457.4,455.338134765625,0.0
480.16,462.19854736328125,0.04
529.43,467.9172058105469,0.12
489.84,472.4177551269531,0.04
486.77,470.36224365234375,0.03
488.18,476.107177734375,0.02
486.77,476.107177734375,0.02
467.98,472.4177551269531,0.01
458.5,469.9617919921875,0.02
494.67,472.4177551269531,0.04
518.63,474.4657287597656,0.09
567.95,469.2686462402344,0.17
510.73,474.4540100097656,0.07
545.5,469.2686462402344,0.14
491.94,469.2686462402344,0.05
474.56,464.7795715332031,0.02
411.6,461.0926513671875,0.12
395.56,461.0926513671875,0.17
386.15,462.44134521484375,0.2
352.8,459.18548583984375,0.3
358.22,459.18548583984375,0.28
375.1,459.18548583984375,0.22
392.05,456.7694396972656,0.17
389.98,459.18548583984375,0.18
446.44,455.8908996582031,0.02
483.38,466.6839904785156,0.03
465.89,467.7799377441406,0.0
496.08,458.7963562011719,0.08
488.1,454.5820617675781,0.07
505.76,453.79937744140625,0.1
478.78,453.79937744140625,0.05
477.37,453.8523254394531,0.05
466.57,454.69293212890625,0.03
467.98,455.106689453125,0.03
524.99,456.2507629394531,0.13
528.02,457.78936767578125,0.13
518.63,455.6702880859375,0.12
502.66,456.2507629394531,0.09
526.61,455.106689453125,0.14
481.04,454.46014404296875,0.06
430.39,454.46014404296875,0.06
387.63,454.46014404296875,0.17
379.64,454.46014404296875,0.2
381.05,454.3373107910156,0.19
362.26,454.69293212890625,0.26
363.67,454.3373107910156,0.25
391.79,453.97845458984375,0.16
425.14,453.97845458984375,0.07
459.91,454.3373107910156,0.01
488.18,454.63226318359375,0.07
504.4,455.4930725097656,0.1
514.96,457.15142822265625,0.11
515.9,458.40576171875,0.11
528.02,460.890869140625,0.13
497.74,458.9814758300781,0.08
490.78,460.890869140625,0.06
463.3,464.0484313964844,0.0
464.24,457.3001403808594,0.01
505.84,458.40576171875,0.09
521.88,458.40576171875,0.12
521.88,457.15142822265625,0.12
483.95,458.25970458984375,0.05
475.96,454.7242126464844,0.04
467.89,454.7242126464844,0.03
424.94,454.7242126464844,0.07
391.79,454.7242126464844,0.16
347.63,453.9474182128906,0.31
357.03,453.9474182128906,0.27
357.09,453.72100830078125,0.27
365.08,453.72100830078125,0.24
401.25,453.72100830078125,0.13
425.22,453.635009765625,0.07
441.19,453.8324890136719,0.03
444.01,453.99249267578125,0.02
472.13,454.7242126464844,0.04
505.48,455.9752502441406,0.1
451.92,464.0484313964844,0.03
474.47,465.2882385253906,0.02
434.54,469.3039855957031,0.08
449.18,466.230712890625,0.04
433.21,474.4796142578125,0.1
433.32,474.4796142578125,0.09
467.01,475.4223937988281,0.02
498.86,469.18212890625,0.06
488.01,467.4118347167969,0.04
455.29,459.71966552734375,0.01
446.44,456.9350891113281,0.02
445.1,454.78411865234375,0.02
358.58,453.759521484375,0.27
353.24,454.78411865234375,0.29
349.76,454.78411865234375,0.3
332.01,454.0629577636719,0.37
334.73,454.0629577636719,0.36
343.61,454.4772644042969,0.32
351.08,454.4772644042969,0.29
379.74,456.3191223144531,0.2
398.37,457.1321716308594,0.15
425.22,456.8790588378906,0.07
470.79,459.02508544921875,0.02
488.18,455.5523376464844,0.07
450.59,453.65966796875,0.01
486.77,454.9076843261719,0.07
502.74,454.9076843261719,0.1
521.45,455.7020263671875,0.13
496.08,454.9076843261719,0.08
486.69,453.95648193359375,0.07
537.42,453.95648193359375,0.16
564.2,453.95648193359375,0.2
548.86,453.87481689453125,0.17
548.02,454.8209533691406,0.17
578.86,455.83050537109375,0.21
494.16,455.83050537109375,0.08
405.02,458.0342712402344,0.13
373.06,458.0342712402344,0.23
338.3,458.7200927734375,0.36
355.68,458.0342712402344,0.29
355.68,458.0342712402344,0.29
374.41,454.6654357910156,0.21
382.4,454.0649108886719,0.19
398.37,456.5711975097656,0.15
443.94,455.14508056640625,0.03
