reality,predict,mape
565.06,575.7213134765625,0.02
636.94,575.7350463867188,0.1
906.49,575.8715209960938,0.36
890.69,576.0291137695312,0.35
868.55,576.1219482421875,0.34
840.6,576.1294555664062,0.31
850.74,575.6817626953125,0.32
890.52,575.8821411132812,0.35
910.57,575.8513793945312,0.37
916.64,575.735595703125,0.37
925.17,575.735595703125,0.38
924.46,575.735595703125,0.38
910.48,575.6817626953125,0.37
830.62,575.7527465820312,0.31
758.81,575.8572998046875,0.24
672.88,575.6817626953125,0.14
652.91,575.7322998046875,0.12
652.91,575.8031616210938,0.12
647.04,575.8031616210938,0.11
668.89,575.8031616210938,0.14
690.85,575.8031616210938,0.17
754.74,575.88232421875,0.24
758.74,575.7433471679688,0.24
812.72,575.9324340820312,0.29
660.9,575.8715209960938,0.13
682.86,576.1102905273438,0.16
690.85,576.1751708984375,0.17
834.76,576.1751708984375,0.31
912.48,576.1102905273438,0.37
786.69,576.2605590820312,0.27
664.89,576.1105346679688,0.13
810.65,575.9326171875,0.29
972.38,575.8912963867188,0.41
950.51,575.8231201171875,0.39
814.64,575.7213134765625,0.29
720.8,575.8231201171875,0.2
806.78,575.6749267578125,0.29
931.03,575.7041015625,0.38
698.84,575.7041015625,0.18
525.12,575.7041015625,0.1
477.2,575.7041015625,0.21
469.58,575.6749267578125,0.23
463.23,575.6749267578125,0.24
445.31,575.6749267578125,0.29
593.01,575.6749267578125,0.03
790.68,575.8231201171875,0.27
852.58,575.6749267578125,0.32
595.01,575.8912963867188,0.03
545.09,575.9109497070312,0.06
816.72,575.9561767578125,0.29
904.49,576.1614379882812,0.36
882.53,576.0169677734375,0.35
850.74,576.0997924804688,0.32
806.66,576.0169677734375,0.29
826.62,576.1704711914062,0.3
868.55,576.1704711914062,0.34
906.49,576.0997924804688,0.36
912.48,576.1187744140625,0.37
814.64,576.1187744140625,0.29
680.96,576.0863647460938,0.15
658.9,576.0863647460938,0.13
750.88,575.9109497070312,0.23
790.68,575.9561767578125,0.27
758.74,575.9561767578125,0.24
738.77,575.9373779296875,0.22
722.8,576.0427856445312,0.2
710.82,576.0427856445312,0.19
746.76,575.9373779296875,0.23
767.0,575.9373779296875,0.25
774.71,576.0427856445312,0.26
818.64,576.0841064453125,0.3
815.88,576.0489501953125,0.29
662.9,576.0125122070312,0.13
626.96,576.3119506835938,0.08
868.55,576.365478515625,0.34
904.57,576.301513671875,0.36
880.7,576.301513671875,0.35
844.59,576.3806762695312,0.32
848.59,576.4039306640625,0.32
878.54,576.348876953125,0.34
910.48,576.348876953125,0.37
918.47,576.1484375,0.37
904.49,576.127197265625,0.36
902.5,576.127197265625,0.36
882.62,576.127197265625,0.35
830.76,576.127197265625,0.31
792.68,576.0521240234375,0.27
716.81,576.0521240234375,0.2
485.19,576.0294799804688,0.19
419.3,576.017333984375,0.37
435.27,576.0294799804688,0.32
724.79,576.1203002929688,0.21
742.76,576.0489501953125,0.22
790.9,576.0489501953125,0.27
832.61,576.09814453125,0.31
846.59,576.2689208984375,0.32
894.51,576.3965454101562,0.36
910.48,576.4702758789062,0.37
953.93,576.4497680664062,0.4
926.63,576.5123901367188,0.38
926.46,576.5123901367188,0.38
882.53,576.5123901367188,0.35
871.45,576.4808349609375,0.34
894.51,576.4344482421875,0.36
922.46,576.4212646484375,0.38
908.49,576.4212646484375,0.37
930.45,576.4077758789062,0.38
914.48,576.3831176757812,0.37
906.74,576.3307495117188,0.36
860.57,576.3831176757812,0.33
814.64,576.3831176757812,0.29
800.67,576.396728515625,0.28
744.76,576.419921875,0.23
752.75,576.419921875,0.23
736.77,576.38671875,0.22
740.77,576.38671875,0.22
784.91,576.3703002929688,0.27
770.72,576.3703002929688,0.25
830.62,576.38671875,0.31
874.54,576.38671875,0.34
920.47,576.3703002929688,0.37
960.4,576.4078369140625,0.4
974.38,576.4135131835938,0.41
958.4,576.38671875,0.4
944.69,576.3965454101562,0.39
878.54,576.3965454101562,0.34
892.51,576.38671875,0.35
958.4,576.3703002929688,0.4
986.36,576.3703002929688,0.42
1001.96,576.3703002929688,0.42
980.55,576.3125610351562,0.41
958.4,576.3125610351562,0.4
924.0,576.161865234375,0.38
852.58,576.0883178710938,0.32
810.65,576.161865234375,0.29
644.93,576.0883178710938,0.11
487.19,576.2179565429688,0.18
487.19,576.26025390625,0.18
675.06,576.1961059570312,0.15
690.85,576.1961059570312,0.17
569.05,576.1961059570312,0.01
764.73,576.1961059570312,0.25
818.64,576.1961059570312,0.3
832.61,576.26025390625,0.31
870.55,576.1961059570312,0.34
868.55,576.1961059570312,0.34
896.75,576.1961059570312,0.36
862.56,576.2689208984375,0.33
856.57,576.3997802734375,0.33
812.65,576.4369506835938,0.29
806.66,576.4368286132812,0.29
870.55,576.4658203125,0.34
888.52,576.447265625,0.35
908.49,576.6130981445312,0.37
924.72,576.902099609375,0.38
916.47,576.9044799804688,0.37
898.5,576.6016235351562,0.36
840.6,576.6016235351562,0.31
834.61,576.6016235351562,0.31
790.68,576.5946044921875,0.27
780.18,576.5946044921875,0.26
740.77,576.854736328125,0.22
740.83,576.3033447265625,0.22
749.47,576.1163330078125,0.23
786.69,576.5906982421875,0.27
802.66,576.854736328125,0.28
864.56,576.5968017578125,0.33
882.53,576.8869018554688,0.35
894.76,577.7018432617188,0.35
926.46,577.2943725585938,0.38
1108.15,577.8621215820312,0.48
1172.05,577.9826049804688,0.51
1106.16,578.359375,0.48
1076.21,578.5486450195312,0.46
1040.27,577.9415283203125,0.44
1072.21,578.1914672851562,0.46
1132.19,578.1914672851562,0.49
1176.28,577.8067626953125,0.51
1146.09,578.0240478515625,0.5
1048.25,577.448486328125,0.45
906.49,577.1456298828125,0.36
854.58,577.2091674804688,0.32
804.66,577.205322265625,0.28
758.74,577.205322265625,0.24
730.98,577.4681396484375,0.21
730.78,576.9011840820312,0.21
724.79,577.1619262695312,0.2
756.74,576.854736328125,0.24
746.76,577.1539916992188,0.23
776.71,577.769287109375,0.26
847.34,578.079345703125,0.32
838.6,578.9237060546875,0.31
896.51,579.0105590820312,0.35
922.54,577.737548828125,0.37
962.58,577.7726440429688,0.4
1170.05,577.5177001953125,0.51
1148.09,577.7726440429688,0.5
1118.14,577.8067626953125,0.48
1100.4,577.9826049804688,0.47
1082.27,577.8826293945312,0.47
1146.09,577.737548828125,0.5
1112.15,577.6858520507812,0.48
1074.21,577.46875,0.46
1076.21,577.0746459960938,0.46
1062.23,576.902099609375,0.46
988.35,576.6087036132812,0.42
926.46,576.3124389648438,0.38
503.23,576.5924682617188,0.15
473.28,576.5924682617188,0.22
461.23,576.2886352539062,0.25
459.23,576.2886352539062,0.25
888.52,576.2886352539062,0.35
970.38,576.1614379882812,0.41
908.49,576.2944946289062,0.37
994.34,576.3124389648438,0.42
946.42,576.5963134765625,0.39
634.94,577.0746459960938,0.09
860.8,577.0353393554688,0.33
1205.99,577.1425170898438,0.52
1202.0,578.13916015625,0.52
1174.04,578.13916015625,0.51
652.67,577.46875,0.12
608.99,577.6858520507812,0.05
1154.08,577.2237548828125,0.5
1181.25,576.6130981445312,0.51
1140.33,576.5791625976562,0.49
1126.12,576.5963134765625,0.49
1026.29,576.37255859375,0.44
686.86,576.365478515625,0.16
1058.24,576.5963134765625,0.46
754.74,576.2166748046875,0.24
501.16,576.3119506835938,0.15
473.28,576.137939453125,0.22
461.23,576.137939453125,0.25
710.82,576.137939453125,0.19
746.76,576.137939453125,0.23
767.0,576.137939453125,0.25
774.71,576.1163330078125,0.26
818.64,576.6016235351562,0.3
815.88,576.6087036132812,0.29
1112.15,576.7627563476562,0.48
1140.18,576.7627563476562,0.49
1168.29,576.963623046875,0.51
1168.05,576.6130981445312,0.51
926.46,576.6130981445312,0.38
868.55,576.963623046875,0.34
862.56,576.7627563476562,0.33
938.44,576.7627563476562,0.39
916.47,576.42919921875,0.37
928.45,576.3720092773438,0.38
940.43,576.3402709960938,0.39
934.54,576.298095703125,0.38
906.08,576.298095703125,0.36
834.61,576.3264770507812,0.31
822.63,576.2166748046875,0.3
744.42,576.2166748046875,0.23
746.76,576.137939453125,0.23
724.85,576.137939453125,0.21
732.92,576.1150512695312,0.21
730.78,576.1150512695312,0.21
760.73,576.1150512695312,0.24
808.65,576.1150512695312,0.29
854.58,576.298095703125,0.33
880.53,576.2166748046875,0.35
900.5,576.2166748046875,0.36
926.46,576.3402709960938,0.38
986.45,576.3931274414062,0.42
998.53,576.404541015625,0.42
1110.15,576.5791625976562,0.48
850.58,576.3860473632812,0.32
888.52,576.3720092773438,0.35
908.49,576.3860473632812,0.37
924.46,576.3402709960938,0.38
1114.14,576.3402709960938,0.48
