power,temperature,humidity,speed
398.79,0.29 ,0.65 ,0.27 
406.22,0.29 ,0.72 ,0.27 
433.23,0.32 ,0.66 ,0.36 
473.94,0.32 ,0.66 ,0.45 
624.37,0.32 ,0.72 ,0.18 
628.02,0.35 ,0.66 ,0.27 
597.92,0.35 ,0.66 ,0.36 
622.81,0.39 ,0.66 ,0.45 
645.78,0.39 ,0.66 ,0.45 
627.91,0.42 ,0.60 ,0.45 
664.51,0.42 ,0.60 ,0.36 
580.19,0.39 ,0.72 ,0.45 
584.52,0.39 ,0.72 ,0.36 
607.02,0.35 ,0.85 ,0.45 
653.38,0.35 ,0.85 ,0.55 
661.79,0.35 ,0.85 ,0.45 
673.16,0.35 ,0.92 ,0.45 
634.1,0.35 ,0.92 ,0.36 
605.75,0.35 ,0.92 ,0.45 
553.37,0.35 ,0.92 ,0.27 
496.66,0.35 ,1.00 ,0.27 
431.41,0.39 ,0.92 ,0.36 
392.52,0.39 ,0.92 ,0.45 
392.52,0.39 ,0.92 ,0.45 
376.66,0.39 ,0.92 ,0.45 
383.62,0.35 ,0.92 ,0.55 
399.63,0.35 ,0.92 ,0.64 
464.32,0.32 ,0.92 ,0.82 
561.03,0.32 ,1.00 ,0.45 
659.21,0.32 ,0.92 ,0.45 
612.89,0.35 ,0.92 ,0.45 
647,0.35 ,0.92 ,0.55 
672.12,0.35 ,0.92 ,0.55 
652.71,0.35 ,0.92 ,0.45 
663.41,0.39 ,0.85 ,0.55 
629.74,0.39 ,0.85 ,0.55 
631.32,0.39 ,0.92 ,0.55 
633.24,0.35 ,0.92 ,0.45 
663.26,0.35 ,0.92 ,0.45 
620.71,0.35 ,0.92 ,0.45 
616.88,0.35 ,0.92 ,0.55 
598.61,0.35 ,0.92 ,0.45 
609.99,0.35 ,0.92 ,0.45 
550.84,0.35 ,0.92 ,0.45 
486.21,0.35 ,0.85 ,0.36 
440.35,0.35 ,0.85 ,0.36 
408.5,0.32 ,0.92 ,0.36 
397.4,0.32 ,0.92 ,0.36 
400.18,0.32 ,0.92 ,0.36 
399.63,0.32 ,0.92 ,0.36 
426.25,0.32 ,0.92 ,0.27 
450.53,0.32 ,0.92 ,0.36 
536.8,0.32 ,0.92 ,0.27 
553.54,0.32 ,0.92 ,0.27 
554.93,0.32 ,0.92 ,0.36 
568.61,0.32 ,0.92 ,0.27 
571.29,0.35 ,0.78 ,0.45 
539.95,0.35 ,0.78 ,0.36 
539.95,0.35 ,0.72 ,0.45 
505.84,0.39 ,0.66 ,0.45 
498.35,0.35 ,0.66 ,0.45 
511.94,0.35 ,0.66 ,0.36 
544.66,0.35 ,0.66 ,0.36 
569.55,0.35 ,0.66 ,0.36 
527.01,0.35 ,0.66 ,0.36 
546.24,0.32 ,0.66 ,0.27 
486.21,0.32 ,0.72 ,0.27 
459.59,0.29 ,0.72 ,0.27 
463.32,0.29 ,0.78 ,0.27 
410.33,0.26 ,0.78 ,0.27 
392.09,0.26 ,0.85 ,0.18 
369.58,0.29 ,0.78 ,0.27 
369.53,0.29 ,0.78 ,0.18 
376.58,0.29 ,0.78 ,0.18 
415.82,0.29 ,0.72 ,0.09 
425.6,0.29 ,0.78 ,0.09 
492.69,0.29 ,0.78 ,0.09 
562.02,0.32 ,0.72 ,0.18 
548.32,0.32 ,0.66 ,0.27 
582.4,0.35 ,0.60 ,0.36 
566,0.35 ,0.60 ,0.36 
566.58,0.35 ,0.60 ,0.45 
546.58,0.35 ,0.60 ,0.45 
530.66,0.35 ,0.60 ,0.45 
