le_accurary,le_accurary_frequency,le_frequency_probability,le_probability_log,le_self_entrocy,gru_accurary,gru_accurary_frequency,gru_frequency_probability,gru_probability_log,gru_self_entrocy,mul_accurary_multiply,mul_accurary_division,multiply_add_division,mul_frequency,mul_probability,mul_division_single,mul_division_single_log,mutual_information
0.68,46,0.0003021862518393946,-11.692274353905441,0.003533244562484564,0.88,76,0.0004718445396411498,-11.049400771725471,0.0026371881508385603,0.5984,0.7727272727272728,1.3711272727272728,2,0.0002754062241806665,0.01268869580342676,-6.30031239913175,0.0017351452490035114
0.7,41,0.0002693399201177213,-11.858284305344371,0.0015783383749854607,0.82,59,0.0003663003663003663,-11.414685235807214,0.0021149726185065417,0.574,0.8536585365853658,1.4276585365853658,3,0.0004131093362709997,0.027507036293166566,-5.18405548288992,0.0021415817197286916
0.66,31,0.0002036472566743746,-12.261639999575578,0.0024970493482423463,0.83,62,0.0003849258086546222,-11.343131974782182,0.002208581712910793,0.5478,0.7951807228915664,1.3429807228915664,3,0.0004131093362709997,0.03461993797771588,-4.852253049683745,0.0020045110367737863
0.71,52,0.0003416018499054026,-11.515396591821363,0.0019439121939718864,0.82,59,0.0003663003663003663,-11.414685235807214,0.0021149726185065417,0.5821999999999999,0.8658536585365854,1.4480536585365853,2,0.0002754062241806665,0.01445882676948499,-6.111905697134085,0.0016832568705960026
0.72,59,0.0003875867143157452,-11.333193260600613,0.0021706945058879877,0.75,38,0.0002359222698205749,-12.049400771725471,0.0014379303274623283,0.54,0.96,1.5,2,0.0002754062241806665,0.019785762947716303,-5.659393492436578,0.0015586321929045935
0.72,59,0.0003875867143157452,-11.333193260600613,0.0021706945058879877,0.68,38,0.0002359222698205749,-12.049400771725471,0.0028427219800432604,0.48960000000000004,1.0588235294117645,1.5484235294117645,2,0.0002754062241806665,0.019785762947716303,-5.659393492436578,0.0015586321929045935
0.78,47,0.00030875551818372924,-11.661247458284818,0.0017792512109022496,0.71,50,0.0003104240392375986,-11.653472095394331,0.0018298443199376382,0.5538,1.0985915492957747,1.6523915492957748,1,0.00013770311209033325,0.009438229899740415,-6.7272679710835135,0.0009263657354838218
0.66,31,0.0002036472566743746,-12.261639999575578,0.0024970493482423463,0.89,76,0.0004718445396411498,-11.049400771725471,0.0026371881508385603,0.5874,0.7415730337078652,1.3289730337078653,1,0.00013770311209033325,0.00941419366060695,-6.730946753461612,0.000926872315265989
0.74,61,0.00040072524700441453,-11.285098972399568,0.002234753406667248,0.91,85,0.0005277208667039176,-10.887937349031354,0.0029063862904104834,0.6734,0.8131868131868132,1.4865868131868132,1,0.00013770311209033325,0.0042776933971822514,-7.868951203331739,0.0010835790695857533
0.77,46,0.0003021862518393946,-11.692274353905441,0.0017460281036099595,0.85,61,0.00037871732786987024,-11.36659094760617,0.00217745337088998,0.6545,0.9058823529411765,1.5603823529411764,2,0.0002754062241806665,0.015808866902630062,-5.98312222325105,0.0016477891003170066
0.76,61,0.00040072524700441453,-11.285098972399568,0.002234753406667248,0.87,62,0.0003849258086546222,-11.343131974782182,0.002208581712910793,0.6612,0.8735632183908046,1.5347632183908047,4,0.000550812448361333,0.023458318629709124,-5.413756577580912,0.002981964515329613
0.71,52,0.0003416018499054026,-11.515396591821363,0.0019439121939718864,0.89,76,0.0004718445396411498,-11.049400771725471,0.0026371881508385603,0.6319,0.797752808988764,1.429652808988764,3,0.0004131093362709997,0.016836923277623966,-5.892227660494673,0.00243413425798458
0.76,61,0.00040072524700441453,-11.285098972399568,0.002234753406667248,0.81,44,0.0002731731545290867,-11.837896666531758,0.001635746570823654,0.6156,0.9382716049382716,1.5538716049382715,2,0.0002754062241806665,0.01652745176184052,-5.918991885831335,0.0016301272062328104
0.95,78,0.0005124027748581038,-10.930434091100206,0.0027677471564704903,0.63,38,0.0002359222698205749,-12.049400771725471,0.0028427219800432604,0.5984999999999999,1.507936507936508,2.106436507936508,1,0.00013770311209033325,0.00748307701227732,-7.0621526619369845,0.0009724803996057539
0.85,64,0.00042043304603741857,-11.215836309962455,0.0023302688890335685,0.55,30,0.00018625442354255913,-12.390437689560537,0.002307773829309096,0.4675,1.5454545454545452,2.012954545454545,1,0.00013770311209033325,0.011552000137703113,-6.435713525239669,0.0008862177809473519
0.97,71,0.0004664179104477612,-11.066089190457772,0.002550626782623327,0.52,19,0.00011796113491028745,-13.049400771725471,0.0015393221249319175,0.5044,1.8653846153846152,2.3697846153846154,1,0.00013770311209033325,0.016441690336834673,-5.926497562579419,0.0008160971581629605
0.94,86,0.0005649569056127812,-10.789571555260357,0.0030122918828073414,0.46,17,0.0001055441733407835,-13.209865443918718,0.0013942243282213831,0.4324,2.043478260869565,2.475878260869565,1,0.00013770311209033325,0.015170889373727755,-6.0425505255835885,0.000832078012335939
0.88,69,0.00045327937775909187,-11.107311853184285,0.0024880119210607546,0.45,25,0.0001552120196187993,-12.653472095394331,0.0019639709591162745,0.396,1.9555555555555555,2.3515555555555556,1,0.00013770311209033325,0.012857878414139115,-6.281203576184045,0.0008649412801134736
0.8,69,0.00045327937775909187,-11.107311853184285,0.0024880119210607546,0.58,37,0.00022971378903582294,-12.087874919540106,0.002776751549158651,0.46399999999999997,1.3793103448275863,1.8433103448275863,1,0.00013770311209033325,0.008687755685229132,-6.84680075203827,0.0009428257714181039
0.72,59,0.0003875867143157452,-11.333193260600613,0.0021706945058879877,0.65,29,0.00018004594275780717,-12.439347290041484,0.002239654010127293,0.46799999999999997,1.1076923076923075,1.5756923076923075,1,0.00013770311209033325,0.01296308606919344,-6.269446974120565,0.0008633223594217248
0.79,57,0.0003744481816270759,-11.382946295797712,0.0021063180200048704,0.67,40,0.00024833923139007885,-11.975400190281693,0.0029739616788431594,0.5293000000000001,1.1791044776119404,1.7084044776119405,1,0.00013770311209033325,0.009728000115960516,-6.683641038683255,0.0009203581711213517
0.74,61,0.00040072524700441453,-11.285098972399568,0.002234753406667248,0.71,50,0.0003104240392375986,-11.653472095394331,0.0018298443199376382,0.5254,1.0422535211267605,1.5676535211267604,2,0.0002754062241806665,0.014544157550419655,-6.103416456968763,0.0016809188810159082
0.16,9,5.912339709901198e-05,-14.045911308520143,0.0008304419919111394,0.75,38,0.0002359222698205749,-12.049400771725471,0.0014379303274623283,0.12,0.21333333333333335,0.33333333333333337,1,0.00013770311209033325,0.06485333410640343,-3.9466754445170493,0.000543469491120497
0.97,71,0.0004664179104477612,-11.066089190457772,0.002550626782623327,0.79,32,0.00019867138511206307,-12.297328285169057,0.001235803846480032,0.7663,1.2278481012658227,1.9941481012658226,3,0.0004131093362709997,0.02928676091248676,-5.093607548414677,0.002104216833550541
0.92,71,0.0004664179104477612,-11.066089190457772,0.002550626782623327,0.81,44,0.0002731731545290867,-11.837896666531758,0.001635746570823654,0.7452000000000001,1.1358024691358024,1.8810024691358025,3,0.0004131093362709997,0.021299462481808557,-5.553039167051974,0.002294012324587706
0.94,86,0.0005649569056127812,-10.789571555260357,0.0030122918828073414,0.77,51,0.00031663252002235055,-11.62490294319756,0.001861865519154609,0.7238,1.2207792207792207,1.9445792207792207,3,0.0004131093362709997,0.015170889373727752,-6.0425505255835885,0.0024962340370078165
0.96,65,0.0004270023123817532,-11.193468496933999,0.00236195945690271,0.75,38,0.0002359222698205749,-12.049400771725471,0.0014379303274623283,0.72,1.28,2.0,6,0.0008262186725419994,0.053878154488396696,-4.214155755382035,0.003481814174096972
0.97,71,0.0004664179104477612,-11.066089190457772,0.002550626782623327,0.76,43,0.00026696467374433475,-11.871063530466959,0.0016030493123185827,0.7372,1.276315789473684,2.013515789473684,1,0.00013770311209033325,0.007264932939531601,-7.104834803837931,0.0009783578633761954
0.98,95,0.0006240803027117932,-10.645980701631506,0.003283247940934945,0.7,42,0.0002607561929595828,-11.905010862390295,0.0015702466796756887,0.6859999999999999,1.4000000000000001,2.0860000000000003,1,0.00013770311209033325,0.005558857209120295,-7.490995960740859,0.001031533456450132
0.93,78,0.0005124027748581038,-10.930434091100206,0.0027677471564704903,0.67,40,0.00024833923139007885,-11.975400190281693,0.0029739616788431594,0.6231000000000001,1.3880597014925373,2.0111597014925375,2,0.0002754062241806665,0.014217846323326908,-6.136153243380762,0.001689934795753446
0.97,71,0.0004664179104477612,-11.066089190457772,0.002550626782623327,0.74,46,0.00028559011609859066,-11.773766329112043,0.0017008344400725232,0.7178,1.3108108108108107,2.028610810810811,1,0.00013770311209033325,0.006791132965214323,-7.202132005192846,0.000991755990800447
0.84,68,0.0004467101114147572,-11.128373468712114,0.0024566031567519416,0.87,62,0.0003849258086546222,-11.343131974782182,0.002208581712910793,0.7308,0.9655172413793103,1.6963172413793104,5,0.0006885155604516662,0.026304364639931188,-5.248553986381003,0.003613711089493943
0.91,70,0.0004598486441034265,-11.086553293017488,0.0025193528064293503,0.84,54,0.00033525796237660646,-11.542440783005587,0.0019574028319349055,0.7644,1.0833333333333335,1.8477333333333334,1,0.00013770311209033325,0.005867682609626978,-7.412993448739586,0.0010207922677966932
1.0,44,0.00028904771915072526,-11.756404691325157,0.0016792741573261084,0.83,62,0.0003849258086546222,-11.343131974782182,0.002208581712910793,0.83,1.2048192771084338,2.0348192771084337,2,0.0002754062241806665,0.01626087995923019,-5.942450858655323,0.001636587953361422
