power,temperature,humidity,speed
918.47,0.33 ,1.00 ,0.31 
904.49,0.33 ,0.90 ,0.31 
902.5,0.33 ,0.90 ,0.31 
882.62,0.33 ,0.90 ,0.31 
830.76,0.33 ,0.90 ,0.31 
792.68,0.29 ,1.00 ,0.31 
716.81,0.29 ,1.00 ,0.31 
485.19,0.29 ,0.90 ,0.31 
419.3,0.29 ,0.90 ,0.38 
435.27,0.29 ,0.90 ,0.31 
724.79,0.29 ,0.90 ,0.46 
742.76,0.29 ,0.83 ,0.38 
790.9,0.29 ,0.83 ,0.38 
832.61,0.33 ,0.83 ,0.38 
846.59,0.38 ,0.73 ,0.46 
894.51,0.48 ,0.59 ,0.54 
910.48,0.52 ,0.59 ,0.62 
953.93,0.57 ,0.52 ,0.54 
926.63,0.57 ,0.52 ,0.69 
926.46,0.57 ,0.52 ,0.69 
882.53,0.57 ,0.52 ,0.69 
871.45,0.52 ,0.52 ,0.69 
894.51,0.43 ,0.67 ,0.69 
922.46,0.43 ,0.67 ,0.62 
908.49,0.43 ,0.67 ,0.62 
930.45,0.38 ,0.73 ,0.69 
914.48,0.33 ,0.83 ,0.69 
906.74,0.33 ,0.83 ,0.62 
860.57,0.33 ,0.83 ,0.69 
814.64,0.33 ,0.83 ,0.69 
800.67,0.33 ,0.83 ,0.77 
744.76,0.33 ,0.83 ,0.92 
752.75,0.33 ,0.83 ,0.92 
736.77,0.29 ,0.90 ,0.85 
740.77,0.29 ,0.90 ,0.85 
784.91,0.29 ,0.90 ,0.77 
770.72,0.29 ,0.90 ,0.77 
830.62,0.29 ,0.90 ,0.85 
874.54,0.29 ,0.90 ,0.85 
920.47,0.29 ,0.90 ,0.77 
960.4,0.33 ,0.83 ,0.85 
974.38,0.29 ,0.90 ,1.00 
958.4,0.29 ,0.90 ,0.85 
944.69,0.29 ,0.90 ,0.92 
878.54,0.29 ,0.90 ,0.92 
892.51,0.29 ,0.90 ,0.85 
958.4,0.29 ,0.90 ,0.77 
986.36,0.29 ,0.90 ,0.77 
1001.96,0.29 ,0.90 ,0.77 
980.55,0.29 ,0.90 ,0.69 
958.4,0.29 ,0.90 ,0.69 
924,0.24 ,1.00 ,0.62 
852.58,0.24 ,1.00 ,0.54 
810.65,0.24 ,1.00 ,0.62 
644.93,0.24 ,1.00 ,0.54 
487.19,0.24 ,1.00 ,0.69 
487.19,0.29 ,0.90 ,0.62 
675.06,0.29 ,0.90 ,0.54 
690.85,0.29 ,0.90 ,0.54 
569.05,0.29 ,0.90 ,0.54 
764.73,0.29 ,0.90 ,0.54 
818.64,0.29 ,0.90 ,0.54 
832.61,0.29 ,0.90 ,0.62 
870.55,0.29 ,0.90 ,0.54 
868.55,0.29 ,0.90 ,0.54 
896.75,0.29 ,0.90 ,0.54 
862.56,0.38 ,0.73 ,0.46 
856.57,0.38 ,0.65 ,0.69 
812.65,0.48 ,0.52 ,0.62 
806.66,0.52 ,0.46 ,0.54 
870.55,0.57 ,0.40 ,0.62 
888.52,0.57 ,0.40 ,0.54 
908.49,0.57 ,0.40 ,0.46 
924.72,0.48 ,0.59 ,0.31 
916.47,0.43 ,0.67 ,0.23 
898.5,0.38 ,0.73 ,0.23 
840.6,0.38 ,0.73 ,0.23 
834.61,0.38 ,0.73 ,0.23 
790.68,0.33 ,0.83 ,0.15 
780.18,0.33 ,0.83 ,0.15 
740.77,0.33 ,0.83 ,0.08 
740.83,0.33 ,0.83 ,0.23 
749.47,0.33 ,0.83 ,0.31 
786.69,0.33 ,0.73 ,0.15 
802.66,0.33 ,0.83 ,0.08 
864.56,0.38 ,0.65 ,0.23 
882.53,0.48 ,0.52 ,0.31 
894.76,0.57 ,0.46 ,0.23 
