reality,predict,mape
513.22,569.0504760742188,0.11
504.97,566.8905639648438,0.12
481.2,569.8683471679688,0.18
521.13,563.726318359375,0.08
537.1,559.2593383789062,0.04
525.12,552.9385986328125,0.05
527.35,544.2487182617188,0.03
570.9,541.7684326171875,0.05
579.11,529.9075317382812,0.08
531.11,528.65771484375,0.0
493.18,529.9993896484375,0.07
796.74,529.9993896484375,0.33
543.09,524.9425048828125,0.03
451.25,524.4618530273438,0.16
405.32,524.8509521484375,0.29
451.25,524.8509521484375,0.16
461.23,523.8438110351562,0.14
461.23,524.1636962890625,0.14
529.12,526.12060546875,0.01
551.08,529.6336669921875,0.04
555.15,532.8040771484375,0.04
577.04,542.5068359375,0.06
644.93,560.3427734375,0.13
816.64,559.80615234375,0.31
569.05,561.1196899414062,0.01
527.12,564.0846557617188,0.07
525.12,563.552734375,0.07
581.03,563.7542114257812,0.03
628.95,557.041748046875,0.11
912.48,552.0072021484375,0.4
694.84,545.3836059570312,0.22
583.19,540.1831665039062,0.07
573.04,539.4971923828125,0.06
511.15,531.2015380859375,0.04
437.27,527.342041015625,0.21
399.33,527.342041015625,0.32
367.39,524.4756469726562,0.43
375.37,524.99169921875,0.4
367.85,523.0231323242188,0.42
369.38,522.5016479492188,0.41
419.35,522.8638305664062,0.25
435.27,524.4756469726562,0.2
499.17,527.342041015625,0.06
928.82,533.847900390625,0.43
770.72,539.6554565429688,0.3
587.87,551.3004150390625,0.06
668.89,555.1929321289062,0.17
652.91,568.9014892578125,0.13
622.96,575.4989624023438,0.08
591.01,581.6246948242188,0.02
613.07,579.3909301757812,0.05
608.99,573.198974609375,0.06
878.54,563.7542114257812,0.36
976.46,556.0256958007812,0.43
678.87,552.796630859375,0.19
670.88,549.2210693359375,0.18
555.07,541.07958984375,0.03
962.4,540.529296875,0.44
537.18,532.1456909179688,0.01
505.16,527.5313720703125,0.04
411.31,528.9418334960938,0.29
405.32,526.5075073242188,0.3
405.32,527.5313720703125,0.3
419.36,527.5313720703125,0.26
427.29,526.5075073242188,0.23
421.3,527.5313720703125,0.25
517.14,540.1831665039062,0.04
571.12,549.3912353515625,0.04
745.26,573.3148193359375,0.23
988.35,574.4193115234375,0.42
656.99,586.9064331054688,0.11
714.81,573.8632202148438,0.2
682.86,564.4067993164062,0.17
670.75,566.6001586914062,0.16
676.87,556.60595703125,0.18
694.84,553.232421875,0.2
626.96,535.382080078125,0.15
1010.32,531.3435668945312,0.47
820.63,530.0198364257812,0.35
642.93,526.53076171875,0.18
654.99,525.9449462890625,0.2
575.12,526.989501953125,0.08
447.25,526.7415771484375,0.18
413.31,526.7415771484375,0.27
407.32,526.7415771484375,0.29
379.37,526.7415771484375,0.39
373.38,527.7904052734375,0.41
393.34,526.7415771484375,0.34
399.33,528.248046875,0.32
429.28,529.3048095703125,0.23
471.35,527.7904052734375,0.12
471.21,528.841796875,0.12
509.15,528.841796875,0.04
561.06,528.841796875,0.06
543.09,529.95263671875,0.02
557.07,539.6554565429688,0.03
535.11,547.0054931640625,0.02
531.11,543.0869140625,0.02
1000.33,552.0072021484375,0.45
710.57,543.0869140625,0.24
