power,temperature,humidity,speed,,
892.51 ,0.75 ,0.76 ,0.42 ,,
960.40 ,0.78 ,0.70 ,0.42 ,,
1030.28 ,0.78 ,0.70 ,0.50 ,,
1022.36 ,0.80 ,0.66 ,0.58 ,,
1048.25 ,0.83 ,0.61 ,0.42 ,,
1026.29 ,0.83 ,0.61 ,0.58 ,,
1058.24 ,0.83 ,0.61 ,0.58 ,,
1038.27 ,0.83 ,0.61 ,0.58 ,,
1022.51 ,0.83 ,0.61 ,0.50 ,,
1020.30 ,0.78 ,0.70 ,0.58 ,,
1042.26 ,0.78 ,0.70 ,0.50 ,,
1042.26 ,0.78 ,0.70 ,0.50 ,,
1026.37 ,0.78 ,0.70 ,0.50 ,,
968.39 ,0.78 ,0.76 ,0.50 ,,
1022.30 ,0.78 ,0.76 ,0.33 ,,
952.41 ,0.75 ,0.82 ,0.42 ,,
894.51 ,0.75 ,0.82 ,0.42 ,,
505.24 ,0.75 ,0.82 ,0.50 ,,
481.20 ,0.75 ,0.82 ,0.50 ,,
453.24 ,0.75 ,0.82 ,0.42 ,,
461.29 ,0.75 ,0.82 ,0.42 ,,
461.23 ,0.75 ,0.82 ,0.42 ,,
