reality,le_predict,mape,accurary
832.61,754.8634778,0.093376878,0.91
822.63,791.2748357,0.038115756,0.96
770.72,744.5888449,0.033904862,0.97
764.73,762.9106414,0.002379086,1
734.78,742.111861,0.009978308,0.99
706.89,717.5616332,0.015096597,0.98
700.96,717.5616332,0.023684138,0.98
692.85,715.1745593,0.032221346,0.97
752.75,685.9114107,0.088792546,0.91
776.71,685.9114107,0.116901532,0.88
810.65,742.111861,0.08454714,0.92
858.57,773.9209897,0.098593021,0.9
1054.24,854.5209059,0.189443669,0.81
1116.14,894.1226518,0.198915323,0.8
1216.23,943.5148915,0.224229881,0.78
1200.08,988.5100438,0.176296544,0.82
1104.16,1010.288405,0.085016297,0.91
1052.25,948.8674594,0.098249029,0.9
1034.28,963.1975367,0.068726518,0.93
1133.33,928.2352298,0.180966506,0.82
1149.84,896.203713,0.220583983,0.78
1122.29,836.7143475,0.254457985,0.75
1100.17,820.1578939,0.254517126,0.75
1102.26,793.1165197,0.280463303,0.72
952.49,791.2748357,0.169256543,0.83
852.58,778.3114499,0.087110359,0.91
802.66,778.3114499,0.030334824,0.97
764.73,746.3218678,0.024071414,0.98
744.76,744.5888449,0.000229812,1
732.92,744.5888449,0.015921035,0.98
724.85,699.7578427,0.034617034,0.97
746.76,715.1745593,0.042296642,0.96
734.78,699.7578427,0.04766346,0.95
956.41,697.4299956,0.270783455,0.73
974.38,754.8634778,0.225288411,0.77
1044.26,796.5628999,0.237198686,0.76
1060.23,799.2216278,0.246180897,0.75
1148.32,874.6807965,0.238295252,0.76
1184.03,874.6807965,0.261268045,0.74
1176.12,903.1023469,0.232134181,0.77
1158.07,975.4736264,0.157673002,0.84
1094.18,988.5100438,0.096574564,0.9
1182.03,964.6915125,0.183868842,0.82
1263.89,907.9441738,0.281627219,0.72
1221.96,879.3702462,0.280360858,0.72
1223.96,836.7143475,0.316387507,0.68
1152.31,802.3243326,0.303725271,0.7
1086.19,780.6672371,0.2812793,0.72
950.51,779.5186565,0.179894313,0.82
872.55,779.5186565,0.106620072,0.89
836.61,728.3984615,0.129345261,0.87
790.68,728.3984615,0.078769589,0.92
727.31,728.3984615,0.001496558,1
726.79,725.9753372,0.001120905,1
712.81,725.9753372,0.01846963,0.98
730.2,728.3984615,0.002467185,1
734.78,697.4299956,0.050831547,0.95
786.69,730.0938014,0.071942186,0.93
974.38,746.3218678,0.234054611,0.77
982.36,799.2216278,0.186426943,0.81
1042.26,876.716607,0.158831187,0.84
1146.32,905.2043083,0.210338903,0.79
1152.08,960.9609101,0.165890468,0.83
1110.15,1007.334323,0.092614221,0.91
1072.29,1063.509638,0.008188421,0.99
990.35,1005.774309,0.015574604,0.98
1010.32,1032.963717,0.022412421,0.98
1050.25,1007.334323,0.040862344,0.96
1082.2,942.2537131,0.129316473,0.87
1052.25,907.9441738,0.137140248,0.86
1074.42,897.5937774,0.164578305,0.84
1060.23,860.7015411,0.188193561,0.81
940.43,802.3243326,0.146853745,0.85
862.56,803.5065162,0.068463045,0.93
848.66,787.347381,0.072246387,0.93
782.7,742.4087523,0.051477255,0.95
758.74,742.4087523,0.021524169,0.98
754.74,741.3164607,0.017785647,0.98
738.77,727.4783403,0.015284405,0.98
756.89,724.6650758,0.042575439,0.96
750.75,727.4783403,0.030997882,0.97
992.35,727.4783403,0.266913548,0.73
992.49,748.7615196,0.245572732,0.75
1024.37,803.2414918,0.21586781,0.78
1104.16,835.0441873,0.243729,0.76
1164.29,860.8425834,0.260628724,0.74
1193.77,833.7509907,0.301581552,0.7
1188.02,816.2874984,0.312900878,0.69
1154.08,842.1243719,0.270306762,0.73
1122.13,819.3230253,0.269850173,0.73
1114.23,852.8573668,0.234576912,0.77
1102.16,822.5037669,0.253734697,0.75
1130.12,860.8425834,0.238273295,0.76
1142.1,804.4250268,0.295661477,0.7
1108.37,789.4857621,0.287705584,0.71
1060.23,711.9790688,0.328467343,0.67
988.35,687.1997686,0.304699986,0.7
956.41,686.1355322,0.282592683,0.72
770.72,710.3257928,0.078360763,0.92
764.73,702.4744133,0.081408584,0.92
728.85,701.3865218,0.037680563,0.96
736.77,699.7578427,0.050235701,0.95
728.79,699.7578427,0.039836108,0.96
726.92,701.3865218,0.035125568,0.96
758.74,701.3865218,0.075590424,0.92
814.64,699.7578427,0.141021994,0.86
948.42,699.7578427,0.262185695,0.74
948.42,728.3984615,0.231987451,0.77
720.8,756.6204148,0.049695359,0.95
1034.35,784.3025943,0.241743516,0.76
1130.2,812.6430436,0.280974125,0.72
1110.15,815.355443,0.265544798,0.73
1148.32,801.0818079,0.302388003,0.7
1060.9,759.908206,0.283713634,0.72
822.63,757.7939773,0.078815534,0.92
1022.3,757.7939773,0.258736205,0.74
1040.44,710.3257928,0.317283272,0.68
948.42,686.1355322,0.276548858,0.72
854.73,697.4299956,0.18403473,0.82
996.34,678.9423031,0.31856364,0.68
932.61,694.0334061,0.255816037,0.74
880.53,682.265037,0.225165483,0.77
814.64,678.9423031,0.16657382,0.83
756.74,678.9423031,0.102806376,0.9
740.83,682.265037,0.079053174,0.92
742.76,682.265037,0.081446178,0.92
750.75,699.7578427,0.067921621,0.93
732.78,694.0334061,0.052876162,0.95
782.7,697.4299956,0.108943407,0.89
890.52,694.0334061,0.220642539,0.78
828.62,683.6296258,0.174978125,0.83
976.87,658.8151221,0.325585675,0.67
1733.12,629.1918554,0.636960017,0.36
892.59,668.7647432,0.250759315,0.75
968.39,668.7647432,0.309405567,0.69
1116.14,668.7647432,0.400823603,0.6
968.39,679.4097709,0.298413066,0.7
958.4,685.9114107,0.284316141,0.72
840.75,704.9999793,0.161463004,0.84
860.57,720.347321,0.162941631,0.84
896.51,736.3587487,0.178638555,0.82
894.51,721.7880777,0.193091103,0.81
1094.27,718.9968183,0.342943864,0.66
866.56,749.8151673,0.134722157,0.87
867.61,733.5111424,0.154561217,0.85
832.61,717.5616332,0.138177979,0.86
820.63,668.7647432,0.185059353,0.81
1469.5,672.5586512,0.542321435,0.46
746.76,668.7647432,0.104444878,0.9
1417.76,668.7647432,0.528294815,0.47
718.8,668.7647432,0.069609428,0.93
706.82,670.9969128,0.050682051,0.95
750.75,672.5586512,0.104150981,0.9
577.18,674.5943466,0.168776372,0.83
810.65,674.5943466,0.16783526,0.83
862.56,688.5742273,0.201708603,0.8
834.61,688.5742273,0.174974866,0.83
896.59,689.5888059,0.230876091,0.77
878.54,674.5943466,0.232141568,0.77
862.56,687.1997686,0.203302068,0.8
856.57,702.4744133,0.179898417,0.82
1048.25,702.4744133,0.329859849,0.67
993.27,703.5094732,0.291723828,0.71
864.56,674.5943466,0.21972524,0.78
906.49,673.601829,0.256912013,0.74
894.51,672.5586512,0.248126179,0.75
934.54,670.9969128,0.282003004,0.72
902.5,672.5586512,0.254782658,0.75
874.54,657.9344965,0.247679355,0.75
806.66,654.2230835,0.188972946,0.81
760.73,684.5422672,0.100150819,0.9
714.81,686.1355322,0.040114811,0.96
724.79,684.5422672,0.055530199,0.94
716.86,684.5422672,0.045082349,0.95
717.66,669.6575401,0.066887467,0.93
692.85,669.6575401,0.033473999,0.97
762.73,669.6575401,0.122025435,0.88
793.6,669.6575401,0.156177495,0.84
810.65,682.265037,0.158372865,0.84
854.58,674.5943466,0.210612995,0.79
840.61,668.7647432,0.204429232,0.8
894.51,657.9344965,0.264474968,0.74
896.59,650.9143661,0.274011124,0.73
892.51,651.6209262,0.2699007,0.73
862.56,636.0855666,0.262560788,0.74
842.6,648.9656036,0.229805835,0.77
830.62,648.1614592,0.21966548,0.78
844.59,663.5802436,0.214316717,0.79
892.67,662.5525858,0.257785536,0.74
902.5,664.5579949,0.263647651,0.74
896.51,681.4662032,0.239867706,0.76
876.54,680.4635752,0.223693642,0.78
832.7,680.4635752,0.182822655,0.82
