reality,predict,mape
738.77,521.3208618164062,0.29
417.3,521.3208618164062,0.25
399.33,516.6338500976562,0.29
397.34,509.9666442871094,0.28
363.39,510.64959716796875,0.41
369.44,510.64959716796875,0.38
397.39,507.82916259765625,0.28
437.27,511.983642578125,0.17
419.3,511.86065673828125,0.22
475.21,515.0819702148438,0.08
493.18,525.8519897460938,0.07
537.1,548.5223388671875,0.02
606.99,561.7127075195312,0.07
1044.26,571.0747680664062,0.45
822.78,571.18505859375,0.31
535.18,570.6650390625,0.07
493.47,565.6019897460938,0.15
473.21,560.4910888671875,0.18
511.15,556.4195556640625,0.09
545.09,546.3150634765625,0.0
832.61,532.304443359375,0.36
812.52,528.0620727539062,0.35
610.98,523.4641723632812,0.14
601.0,522.5149536132812,0.13
495.17,518.4029541015625,0.05
583.03,518.2413940429688,0.11
597.0,509.126220703125,0.15
441.26,505.7314758300781,0.15
443.26,501.8763732910156,0.13
445.32,498.5546569824219,0.12
451.3,498.5546569824219,0.1
463.23,501.8763732910156,0.08
429.28,501.8763732910156,0.17
477.2,514.2940063476562,0.08
503.16,522.8709106445312,0.04
505.16,532.65283203125,0.05
533.11,537.5745239257812,0.01
537.1,542.7609252929688,0.01
570.17,546.580810546875,0.04
513.22,555.8344116210938,0.08
504.97,551.5245361328125,0.09
481.2,555.61572265625,0.15
521.13,550.4778442382812,0.06
537.1,546.6267700195312,0.02
525.12,541.66162109375,0.03
527.35,532.65283203125,0.01
570.9,537.0006713867188,0.06
579.11,523.7388305664062,0.1
531.11,524.1348876953125,0.01
493.18,528.4237060546875,0.07
796.74,528.4237060546875,0.34
543.09,523.744873046875,0.04
451.25,519.9920654296875,0.15
405.32,520.2369384765625,0.28
451.25,520.2369384765625,0.15
461.23,515.6897583007812,0.12
461.23,515.9009399414062,0.12
529.12,520.4121704101562,0.02
551.08,524.9854125976562,0.05
555.15,525.1762084960938,0.05
577.04,534.3157348632812,0.07
644.93,547.6593017578125,0.15
816.64,547.7847290039062,0.33
569.05,543.7431030273438,0.04
527.12,547.8199462890625,0.04
525.12,547.94970703125,0.04
581.03,556.9588012695312,0.04
628.95,552.0169067382812,0.12
912.48,548.3638305664062,0.4
694.84,543.5511474609375,0.22
583.19,538.4937744140625,0.08
573.04,538.650634765625,0.06
511.15,529.9817504882812,0.04
437.27,521.138427734375,0.19
399.33,521.138427734375,0.31
367.39,513.45361328125,0.4
375.37,516.4307861328125,0.38
367.85,510.8388671875,0.39
369.38,507.1517028808594,0.37
419.35,509.7353210449219,0.22
435.27,513.45361328125,0.18
499.17,521.138427734375,0.04
928.82,530.2002563476562,0.43
770.72,535.041748046875,0.31
587.87,543.3327026367188,0.08
668.89,543.4623413085938,0.19
652.91,553.216796875,0.15
622.96,558.2655029296875,0.1
591.01,563.4767456054688,0.05
613.07,571.983154296875,0.07
608.99,566.7847900390625,0.07
878.54,556.9588012695312,0.37
976.46,547.6099243164062,0.44
678.87,543.5531005859375,0.2
670.88,542.6829223632812,0.19
555.07,533.5922241210938,0.04
962.4,533.7442626953125,0.45
537.18,529.59375,0.01
505.16,525.2052612304688,0.04
411.31,529.1907348632812,0.29
405.32,520.6507568359375,0.28
405.32,525.2052612304688,0.3
419.36,525.2052612304688,0.25
427.29,520.6507568359375,0.22
421.3,525.2052612304688,0.25
517.14,538.4937744140625,0.04
571.12,547.9267578125,0.04
745.26,571.0747680664062,0.23
988.35,566.6177978515625,0.43
656.99,581.4055786132812,0.12
714.81,570.9900512695312,0.2
682.86,561.1685791015625,0.18
670.75,566.0016479492188,0.16
676.87,552.6998901367188,0.18
694.84,548.1175537109375,0.21
626.96,538.5670166015625,0.14
1010.32,534.1301879882812,0.47
820.63,529.8214111328125,0.35
642.93,521.2023315429688,0.19
654.99,517.5591430664062,0.21
575.12,521.4529418945312,0.09
447.25,516.9672241210938,0.16
413.31,516.9672241210938,0.25
407.32,516.9672241210938,0.27
379.37,516.9672241210938,0.36
373.38,521.3920288085938,0.4
393.34,516.9672241210938,0.31
399.33,521.6452026367188,0.31
429.28,526.1150512695312,0.23
471.35,521.3920288085938,0.11
471.21,525.8839111328125,0.12
509.15,525.8839111328125,0.03
561.06,525.8839111328125,0.06
543.09,525.8601684570312,0.03
557.07,535.041748046875,0.04
535.11,539.58740234375,0.01
531.11,539.48876953125,0.02
1000.33,548.3638305664062,0.45
710.57,539.48876953125,0.24
704.83,539.48876953125,0.23
616.97,538.650634765625,0.13
668.89,533.9880981445312,0.2
658.9,525.4188232421875,0.2
639.33,520.880859375,0.19
585.1,520.9202270507812,0.11
810.65,520.9202270507812,0.36
583.09,520.9202270507812,0.11
483.19,517.724853515625,0.07
469.22,510.8388671875,0.09
441.26,514.0292358398438,0.16
455.24,512.976806640625,0.13
483.19,512.976806640625,0.06
780.85,517.724853515625,0.34
758.74,524.85595703125,0.31
553.08,533.7947998046875,0.03
579.03,538.4937744140625,0.07
595.01,552.6998901367188,0.07
535.18,556.4068603515625,0.04
513.14,561.5260620117188,0.09
519.13,561.1685791015625,0.08
505.23,561.5260620117188,0.11
880.53,556.5020141601562,0.37
756.74,552.8246459960938,0.27
754.74,548.0634765625,0.27
740.77,543.4329833984375,0.27
744.76,538.7622680664062,0.28
720.89,543.3218383789062,0.25
628.95,538.7622680664062,0.14
