reality,predict,mape
585.11,571.0234985351562,0.02
581.03,571.06787109375,0.02
624.96,571.0906372070312,0.09
579.03,571.0906372070312,0.01
513.22,571.1438598632812,0.11
720.8,571.1522827148438,0.21
680.87,571.2310180664062,0.16
465.22,571.1988525390625,0.23
421.3,571.1160888671875,0.36
379.42,571.1988525390625,0.51
379.37,571.1988525390625,0.51
595.01,571.2695922851562,0.04
722.8,571.1593627929688,0.21
758.8,571.1904907226562,0.25
547.09,571.111328125,0.04
565.06,571.03955078125,0.01
636.94,571.0704345703125,0.1
906.49,571.0537719726562,0.37
890.69,571.0476684570312,0.36
868.55,571.6636962890625,0.34
840.6,571.2096557617188,0.32
850.74,571.4556884765625,0.33
890.52,571.7839965820312,0.36
910.57,571.279296875,0.37
916.64,571.22998046875,0.38
925.17,571.22998046875,0.38
924.46,571.22998046875,0.38
910.48,571.4556884765625,0.37
830.62,571.6935424804688,0.31
758.81,571.3939208984375,0.25
672.88,571.4556884765625,0.15
652.91,571.370849609375,0.12
652.91,571.6090698242188,0.12
647.04,571.6090698242188,0.12
668.89,571.6090698242188,0.15
690.85,571.6090698242188,0.17
754.74,571.9203491210938,0.24
758.74,571.8619384765625,0.25
812.72,571.8493041992188,0.3
660.9,571.0537719726562,0.14
682.86,571.3197021484375,0.16
690.85,571.643310546875,0.17
834.76,571.643310546875,0.32
912.48,571.3197021484375,0.37
786.69,571.5159912109375,0.27
664.89,571.011962890625,0.14
810.65,570.9961547851562,0.3
972.38,571.0361938476562,0.41
950.51,571.21044921875,0.4
814.64,571.03955078125,0.3
720.8,571.21044921875,0.21
806.78,571.0906372070312,0.29
931.03,571.1134033203125,0.39
698.84,571.1134033203125,0.18
525.12,571.1134033203125,0.09
477.2,571.1134033203125,0.2
469.58,571.0906372070312,0.22
463.23,571.0906372070312,0.23
445.31,571.0906372070312,0.28
593.01,571.0906372070312,0.04
790.68,571.21044921875,0.28
852.58,571.0906372070312,0.33
595.01,571.0361938476562,0.04
545.09,571.018798828125,0.05
816.72,570.9856567382812,0.3
904.49,570.9642333984375,0.37
882.53,570.9751586914062,0.35
850.74,571.04638671875,0.33
806.66,570.9751586914062,0.29
826.62,570.995849609375,0.31
868.55,570.995849609375,0.34
